,ch-free,chi-inuse,imp(%),osg-inuse
2021-07-16 16:42:48.713163+00:00,273,1,0.0,0
2021-07-16 16:42:48.784596+00:00,273,1,0.0,0
2021-07-16 16:42:48.861084+00:00,273,1,0.0,0
2021-07-16 16:42:48.935854+00:00,273,1,0.0,0
2021-07-16 16:42:49.013145+00:00,273,1,0.0,0
2021-07-16 16:42:49.097732+00:00,273,1,0.0,0
2021-07-16 16:42:49.169073+00:00,273,1,0.0,0
2021-07-16 16:42:49.230541+00:00,272,2,0.0,0
2021-07-16 16:42:49.287113+00:00,273,1,0.0,0
2021-07-16 16:42:49.362380+00:00,273,1,0.0,0
2021-07-16 16:42:49.434190+00:00,266,8,0.0,0
2021-07-16 16:42:49.508256+00:00,273,1,0.0,0
2021-07-16 16:42:49.584193+00:00,273,1,0.0,0
2021-07-16 16:42:49.668544+00:00,273,1,0.0,0
2021-07-16 16:42:49.744148+00:00,273,1,0.0,0
2021-07-16 16:42:49.816987+00:00,273,1,0.0,0
2021-07-16 16:42:49.885975+00:00,273,1,0.0,0
2021-07-16 16:42:49.955949+00:00,273,1,0.0,0
2021-07-16 16:42:50.023139+00:00,273,1,0.0,0
2021-07-16 16:42:50.096989+00:00,273,1,0.0,0
2021-07-16 16:42:50.169071+00:00,273,1,0.0,0
2021-07-16 16:42:50.244879+00:00,273,1,0.0,0
2021-07-16 16:42:50.311848+00:00,273,1,0.0,0
2021-07-16 16:42:50.383059+00:00,273,1,0.0,0
2021-07-16 16:42:50.448313+00:00,273,1,0.0,0
2021-07-16 16:42:50.518530+00:00,273,1,0.0,0
2021-07-16 16:42:50.590561+00:00,273,1,0.0,0
2021-07-16 16:42:50.659302+00:00,273,1,0.0,0
2021-07-16 16:42:50.730711+00:00,273,1,0.0,0
2021-07-16 16:42:50.807081+00:00,273,1,0.0,0
2021-07-16 16:42:50.879772+00:00,273,1,0.0,0
2021-07-16 16:42:50.947497+00:00,272,2,0.0,0
2021-07-16 16:42:51.005012+00:00,273,1,0.0,0
2021-07-16 16:42:51.077984+00:00,273,1,0.0,0
2021-07-16 16:42:51.142792+00:00,273,1,0.0,0
2021-07-16 16:42:51.214302+00:00,273,1,0.0,0
2021-07-16 16:42:51.280670+00:00,273,1,0.0,0
2021-07-16 16:42:51.352610+00:00,273,1,0.0,0
2021-07-16 16:42:51.429126+00:00,273,1,0.0,0
2021-07-16 16:42:51.490494+00:00,273,1,0.0,0
2021-07-16 16:42:51.566157+00:00,273,1,0.0,0
2021-07-16 16:42:51.648014+00:00,268,6,0.0,0
2021-07-16 16:42:51.721559+00:00,273,1,0.0,0
2021-07-16 16:42:51.796225+00:00,272,2,0.0,0
2021-07-16 16:42:51.837255+00:00,273,1,0.0,0
2021-07-16 16:42:51.902050+00:00,273,1,0.0,0
2021-07-16 16:42:51.970813+00:00,273,1,0.0,0
2021-07-16 16:42:52.036443+00:00,272,2,0.0,0
2021-07-16 16:42:52.073633+00:00,272,2,0.0,0
2021-07-16 16:42:52.112566+00:00,273,1,0.0,0
2021-07-16 16:42:52.179015+00:00,273,1,0.0,0
2021-07-16 16:42:52.256927+00:00,273,1,0.0,0
2021-07-16 16:42:52.334896+00:00,273,1,0.0,0
2021-07-16 16:42:52.411489+00:00,273,1,0.0,0
2021-07-16 16:42:52.482653+00:00,273,1,0.0,0
2021-07-16 16:42:52.560005+00:00,273,1,0.0,0
2021-07-16 16:42:52.639919+00:00,273,1,0.0,0
2021-07-16 16:42:52.709802+00:00,273,1,0.0,0
2021-07-16 16:42:52.778597+00:00,273,1,0.0,0
2021-07-16 16:42:52.857298+00:00,273,1,0.0,0
2021-07-16 16:42:52.928205+00:00,273,1,0.0,0
2021-07-16 16:42:52.998943+00:00,273,1,0.0,0
2021-07-16 16:42:53.066630+00:00,273,1,0.0,0
2021-07-16 16:42:53.134120+00:00,273,1,0.0,0
2021-07-16 16:42:53.212338+00:00,273,1,0.0,0
