EVENT_TIME,EVENT_TIME_SEC,HOST_NAME (PHYSICAL),EVENT,PROPERTIES
2015-06-29T18:38:16,1103896.0,cae4148a6a4df924f9ac34eaf72f6ea7,CREATE,"{'architecture.smp_size': '2', 'main_memory.ram_size': '134956949504', 'placement.rack': 6, 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016'}"
2018-03-14T15:39:51,86542791.0,cae4148a6a4df924f9ac34eaf72f6ea7,UPDATE,"{'architecture.smp_size': '2', 'node_type': 'compute_haswell', 'main_memory.ram_size': '134956949504', 'architecture.smt_size': '48', 'architecture.platform_type': 'x86_64', 'storage_devices.0.size': '250059350016', 'placement.rack': 6}"
2015-06-29T20:49:16,1111756.0,5227c8a54ea55ae09abee63551aad6b1,CREATE,"{'architecture.smt_size': '48', 'placement.rack': 8, 'main_memory.ram_size': '134956949504', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'storage_devices.0.size': '250059350016'}"
2018-03-14T15:39:52,86542792.0,5227c8a54ea55ae09abee63551aad6b1,UPDATE,"{'node_type': 'compute_haswell', 'architecture.smt_size': '48', 'main_memory.ram_size': '137438953472', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '2', 'placement.rack': 8, 'storage_devices.0.size': '250059350016'}"
2015-06-29T20:51:09,1111869.0,9cb376d58d7563e691769f2cd83924f8,CREATE,"{'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '134956859392', 'placement.rack': 5, 'storage_devices.0.size': '250059350016'}"
2018-03-14T15:39:52,86542792.0,9cb376d58d7563e691769f2cd83924f8,UPDATE,"{'placement.rack': 5, 'architecture.smt_size': '48', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64', 'main_memory.ram_size': '137438953472', 'storage_devices.0.size': '250059350016', 'node_type': 'compute_haswell'}"
2015-11-10T23:38:49,12699529.0,cecbf1a8f6a77efacf89d26fdfc2fc1c,CREATE,{'placement.rack': 7}
2018-11-05T15:39:57,106933197.0,cecbf1a8f6a77efacf89d26fdfc2fc1c,UPDATE,"{'placement.rack': 7, 'main_memory.ram_size': '68719476736', 'storage_devices.0.size': '400088457216', 'architecture.smt_size': '40', 'node_type': 'storage', 'architecture.smp_size': '2', 'architecture.platform_type': 'x86_64'}"
2020-08-31T21:31:11,164410271.0,61a8bd51a63606e4a3af91eaf1588da3,ENABLE,"{'architecture.platform_type': 'aarch64', 'node_type': 'arm64', 'placement.rack': 1, 'main_memory.ram_size': '67645734912', 'architecture.smt_size': '8', 'storage_devices.0.size': '120034123776', 'architecture.smp_size': '1'}"
2016-11-23T13:41:30,45409290.0,61a8bd51a63606e4a3af91eaf1588da3,CREATE,"{'node_type': 'moonshot', 'placement.rack': None}"
2018-03-14T15:39:52,86542792.0,61a8bd51a63606e4a3af91eaf1588da3,UPDATE,"{'architecture.platform_type': 'aarch64', 'node_type': 'arm64', 'placement.rack': 1, 'main_memory.ram_size': '67645734912', 'architecture.smt_size': '8', 'storage_devices.0.size': '120034123776', 'architecture.smp_size': '1'}"
2020-09-01T17:37:13,164482633.0,8a38cf91a516eb513097137169330b49,DISABLE,"{'placement.rack': 1, 'node_type': 'lowpower_xeon', 'storage_devices.0.size': '120034123776', 'architecture.platform_type': 'x86_64', 'architecture.smp_size': '1', 'main_memory.ram_size': '33285996544', 'architecture.smt_size': '8'}"
2016-11-23T04:32:18,45376338.0,8a38cf91a516eb513097137169330b49,CREATE,"{'node_type': 'moonshot', 'placement.rack': None}"
