lease_id,project_id,user_id,created_at,deleted_at,start_on,end_on,status,node_cnt,reserve_conditions,reserve_count_range,node_type,action,trace_time
d301d25530b60eff9f0a28e13d99ffe5,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-16 05:55:47,2018-03-16 06:06:34,2018-03-16 05:56:00,2018-03-16 06:26:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-16 05:56:00
10a86c124970bef71f9c4a721ce87a02,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 05:27:34,2018-03-16 05:40:58,2018-03-16 05:28:00,2018-03-16 05:57:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-16 05:57:00
219e157e7423fbaa9f3f5efb813c51d1,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 06:02:41,2018-03-16 06:03:28,2018-03-16 06:03:00,2018-03-16 07:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-16 06:03:00
65d0bb02e0fb1531eb09dfda7ca8533d,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-16 05:46:03,2018-03-16 05:58:55,2018-03-16 05:46:00,2018-03-16 06:15:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-16 06:15:00
681f6a2f900fdb19c98f5b2da2ee7154,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 05:51:59,2018-03-16 06:02:07,2018-03-16 05:53:00,2018-03-16 06:23:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-16 06:23:00
d301d25530b60eff9f0a28e13d99ffe5,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-16 05:55:47,2018-03-16 06:06:34,2018-03-16 05:56:00,2018-03-16 06:26:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-16 06:26:00
219e157e7423fbaa9f3f5efb813c51d1,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 06:02:41,2018-03-16 06:03:28,2018-03-16 06:03:00,2018-03-16 07:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-16 07:03:00
e8589c4f352f441ce3354c503ae7f8a7,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-16 07:30:17,2018-03-16 07:31:22,2018-03-16 07:31:00,2018-03-16 08:31:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-16 07:31:00
e8589c4f352f441ce3354c503ae7f8a7,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-16 07:30:17,2018-03-16 07:31:22,2018-03-16 07:31:00,2018-03-16 08:31:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-16 08:31:00
ee8e06f9743c2f3755f3fc556b927f08,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 09:02:21,2018-03-16 09:03:28,2018-03-16 09:03:00,2018-03-16 10:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-16 09:03:00
ee8e06f9743c2f3755f3fc556b927f08,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 09:02:21,2018-03-16 09:03:28,2018-03-16 09:03:00,2018-03-16 10:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-16 10:03:00
dad3f2b277c3327c190ad06a6a3f395d,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-16 10:30:22,2018-03-16 10:31:27,2018-03-16 10:31:00,2018-03-16 11:31:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-16 10:31:00
dad3f2b277c3327c190ad06a6a3f395d,d79a64ad06b4569c01b79595b62207fb,99b54d1d4e70e31f2c092dcec7e5e3b8,2018-03-16 10:30:22,2018-03-16 10:31:27,2018-03-16 10:31:00,2018-03-16 11:31:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-16 11:31:00
d30509fea3bdefecea71bbc826253b7d,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 12:02:17,2018-03-16 12:03:24,2018-03-16 12:03:00,2018-03-16 13:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,start,2018-03-16 12:03:00
d30509fea3bdefecea71bbc826253b7d,a956639e292fd1679669a9507e4cd0c9,45b7d90a39ea685ec4fcba668a70cebd,2018-03-16 12:02:17,2018-03-16 12:03:24,2018-03-16 12:03:00,2018-03-16 13:03:00,active,1,"[""="", ""$node_type"", ""compute_haswell""]",1-1,compute_haswell,stop,2018-03-16 13:03:00
